timestamp,x,y,z
162983,-17.33,-15.99,41.14
163186,-54.02,-76.54,-135.19
163389,10.74,-58.53,48.71
163593,-14.95,1.4,79.41
163797,-27.95,106.93,72.57
164002,-78.31,11.9,79.22
164205,-148.25,-96.74,62.99
164408,40.04,-13.67,-58.47
164611,174.87,-60.49,-40.41
164813,-39.92,74.89,-32.53
165016,-237.61,-168.09,-9.83
165219,174.56,4.03,-33.26
165422,13.43,-32.53,16.91
165625,-217.96,2.56,13.98
165828,641.48,120.97,-13.85
166031,-287.54,1.83,224.18
166233,-316.35,7.45,-18.43
166436,-359.07,-36.74,38.51
166639,-5.0,16.3,52.49
166841,-75.26,185.49,-31.74
167044,86.79,-29.36,4.82
167246,42.79,-62.13,11.72
167449,-81.73,-54.99,-35.4
167653,-36.13,8.85,3.85
167856,-19.35,68.73,-21.79
168059,8.97,-58.72,-23.93
168261,25.88,25.76,2.38
168464,43.95,6.1,17.64
168667,23.86,-19.47,-5.31
168870,-96.44,82.15,34.42
169073,35.46,-50.35,-41.44
169275,21.48,-15.5,-0.98
169479,47.97,18.55,-24.78
169683,-92.47,44.56,42.54
169887,180.11,-38.27,22.89
170089,31.8,-6.71,-18.25
170294,-20.75,99.49,1.59
170498,8.3,-50.48,0.79
170701,-56.46,5.74,6.84
170903,21.36,-45.72,-17.21
171106,2.99,8.79,-1.77
171309,23.01,-20.45,-13.67
171512,12.15,4.52,-2.69
171715,8.91,4.21,1.59
171919,36.62,-203.0,-47.91
172122,140.56,46.57,-80.63
172324,-145.14,6.35,-28.08
172527,246.52,-251.4,174.99
172730,24.54,17.76,-111.08
172936,-87.28,152.1,-99.61
173138,-156.31,-53.1,42.85
173341,297.0,-29.97,73.79
173544,-170.35,73.97,-30.03
173746,-236.88,39.31,-4.7
173949,-31.37,5.19,-5.0
174152,-23.13,5.92,14.83
174355,23.13,-23.8,-1.83
174558,-0.49,3.3,-3.91
174761,-16.78,-19.65,-2.87
174965,43.4,-152.04,-139.4
175168,-18.43,-48.58,29.91
175371,11.54,-14.53,4.76
175575,13.61,-15.14,63.72
175780,76.35,14.59,-12.39
175983,24.05,12.02,-55.3
176186,131.96,-62.01,121.95
176390,-36.93,-4.64,74.16
176596,57.92,40.22,-86.67
176800,153.5,-62.01,-173.95
177002,-55.48,-73.55,-58.72
177205,-46.2,-66.1,1.59
177408,-64.33,52.55,101.93
177612,-16.24,-28.2,204.65
177815,-15.75,-53.34,113.22
178018,30.21,22.22,-6.29
178221,-64.76,58.9,25.63
178424,-39.18,41.99,-15.08
178626,29.11,-42.3,69.34
178828,30.15,-25.39,8.36
179031,25.09,-5.31,-34.42
179234,31.25,8.06,-102.29
179436,-38.94,5.92,-85.94
179639,-15.14,45.23,-57.56
179845,6.65,13.24,-39.12
180048,15.63,-5.31,-55.97
180252,22.46,28.93,-32.84
180455,23.13,15.5,-24.66
180658,14.4,-19.35,-29.17
180861,-8.42,-17.82,-29.72
181065,2.01,12.82,-11.9
181269,-47.12,-2.93,86.61
181472,-170.35,26.86,105.77
181675,-105.35,-74.04,47.06
181878,71.59,-25.39,-0.55
182080,-76.72,15.5,2.69
182284,-65.43,17.64,-15.08
182488,-22.89,35.71,13.98
182691,-22.4,16.91,-65.43
182894,26.0,78.43,31.01
183096,217.77,-61.1,19.9
183299,41.26,236.69,14.28
183502,-11.11,-8.06,111.45
183705,27.1,-18.68,94.67
183908,57.62,0.79,16.54
184111,246.28,-97.53,21.24
184314,-172.61,12.27,-7.81
184517,35.1,-20.02,-0.79
184720,-367.61,47.91,3.54
184925,22.22,30.33,-83.68
185128,233.34,5.07,-135.38
185332,-258.24,-29.91,8.3
185535,7.69,1.04,-23.86
185738,24.41,5.74,-6.41
185940,-86.55,-13.73,33.26
186143,125.0,-5.43,-22.89
186346,75.01,48.95,-13.43
186549,115.72,-12.02,15.32
186752,35.71,-16.6,-22.28
186954,-21.67,8.73,12.02
187158,-5.25,0.18,-1.77
187361,-7.45,2.81,-5.0
187563,-40.95,-0.06,0.12
187767,-13.18,2.56,-13.24
187970,-8.61,-2.32,0.37
188173,-78.37,18.74,-1.83
188377,-7.87,3.23,-0.49
188580,-0.12,0.55,-2.08
188785,7.02,-2.01,2.93
188987,-105.35,24.11,-5.07
189191,-57.31,-13.18,6.65
189396,-36.74,-81.6,18.31
189599,-25.02,52.12,25.63
189802,-38.45,53.41,75.62
190005,-68.36,0.73,126.4
190208,85.69,53.65,91.25
190413,88.26,50.29,35.71
190615,-31.31,34.85,125.61
190819,-20.87,-28.14,63.48
191023,92.1,-41.81,-65.86
191225,228.39,-27.95,-140.2
191429,-125.98,-151.06,285.83
191632,-9.52,-44.98,130.0
191835,83.37,1.34,-77.15
192038,9.46,-3.91,7.32
192241,-17.27,-22.52,-83.8
192446,70.62,-51.82,-247.44
192650,28.99,-35.03,-34.91
192853,25.33,110.6,94.6
193056,-85.88,-9.28,-117.55
193260,-129.09,15.38,-53.1
193463,-173.46,-22.09,115.11
193666,-315.8,52.43,-4.76
193868,158.75,-109.68,-74.77
194072,3.48,1.46,-35.58
194275,52.49,26.86,-10.31
194478,408.75,-60.0,16.48
194682,-13.79,-21.97,-11.23
194885,-85.45,-1.77,55.05
195088,-106.32,103.03,-155.09
195292,91.37,122.74,-148.44
195494,535.89,-96.13,-195.07
195698,-3.85,-63.78,-1.04
195901,89.17,-85.21,-3.6
196104,6.59,-28.56,-26.61
196307,172.36,22.4,-140.99
196510,94.18,26.86,-265.08
196714,47.36,-36.99,-149.78
196917,225.59,-61.28,-91.06
197120,-13.0,-92.65,-38.27
197324,-17.58,-94.97,-38.27
197528,113.71,-41.44,-15.63
197731,96.56,4.09,36.13
197934,67.69,30.15,-60.24
198137,83.25,-34.85,-32.35
198339,185.61,9.95,90.76
198543,29.72,-40.22,-134.83
198747,60.79,-45.9,-27.65
198950,-27.16,268.92,-134.77
199155,70.01,122.92,-101.56
199359,-321.17,253.72,-128.54
199563,-65.73,63.9,-75.74
199765,-141.85,78.37,-65.06
199970,-22.03,92.35,-12.63
200173,-60.0,11.66,-3.11
200376,-10.86,-2.2,2.38
200579,-105.04,105.16,-27.1
200782,84.66,23.32,17.46
200985,18.86,215.03,108.09
201187,6.77,-38.88,48.28
201391,292.66,-6.47,-35.52
201595,-24.11,-2.38,42.97
201799,-39.61,25.63,-3.72
202004,119.93,12.27,-66.53
202207,-96.37,-45.53,-51.51
202410,33.75,-30.46,40.22
